category,rank,item_or_template,frequency,percentage_of_outbound,contains_dm_deflection
keyword_frequency,0,DM,316202,24.82,True
keyword_frequency,0,Direct Message,15288,1.2,True
keyword_frequency,0,Private Message,3795,0.3,True
keyword_frequency,0,Any Deflection,333979,26.22,True
top_repeated_template,1,@user Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,5006,0.393,False
top_repeated_template,2,"@user We're awaiting for your response to resolve ur issue. Pls provide the same within next 24 hrs. Rgds, Idea Care",1529,0.12,False
top_repeated_template,3,@user We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,1008,0.0791,False
top_repeated_template,4,"@user To be immediately connected with our Critical Response Line, click the ""Call Me"" button and enter your number at https://t.co/93jojKlTCK.",977,0.0767,False
top_repeated_template,5,@user We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,751,0.059,False
top_repeated_template,6,@user We're here to help! Send us a DM with your email address so we can connect.,587,0.0461,True
top_repeated_template,7,@user We're here to help! Send us a DM with your email address so we can assist.,578,0.0454,True
top_repeated_template,8,@user I do apologize for the inconvenience and I will be happy to help. Can you DM me your account number? -JP,574,0.0451,True
top_repeated_template,9,@user Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,557,0.0437,True
top_repeated_template,10,@user We're here to help! Send us a DM with your email address and more details so we can follow up.,495,0.0389,True
top_repeated_template,11,@user We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,483,0.0379,True
top_repeated_template,12,@user We have sent you a Direct Message via Twitter with further instructions.,471,0.037,True
top_repeated_template,13,"@user We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ",458,0.036,True
top_repeated_template,14,@user I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB,448,0.0352,True
top_repeated_template,15,@user Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,419,0.0329,False
top_repeated_template,16,"@user Hi, I would love to help. Please DM me the phone # associated with the account &amp; the service address. -Jules",412,0.0323,True
top_repeated_template,17,"@user Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",409,0.0321,False
top_repeated_template,18,@user We've been in touch via DM!,403,0.0316,True
top_repeated_template,19,@user Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,396,0.0311,True
top_repeated_template,20,@user Hi there! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,325,0.0255,False
top_repeated_template,21,"@user Is there something that I can assist you with? If so, please provide the details via a DM. Thank you. ^KD https://t.co/wKJHDXWGRQ",318,0.025,True
top_repeated_template,22,@user We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,313,0.0246,False
top_repeated_template,23,"@user Hey there, can you please DM us with a full description of the issue you  1 ^XS",311,0.0244,True
top_repeated_template,24,@user are having along with your Gamertag? Please include verbatims of any error you are seeing.  2 ^XS,309,0.0243,False
top_repeated_template,25,@user Let us know if you need any help! ^RB,304,0.0239,False
top_repeated_template,26,@user We're here to help! Send us a DM with your email address so we can follow up.,293,0.023,True
top_repeated_template,27,"@user If you need assistance, please use the link provided to DM us your tracking and contact information. Thanks ^AD https://t.co/wKJHDXWGRQ",283,0.0222,True
top_repeated_template,28,@user We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,279,0.0219,True
top_repeated_template,29,"@user We’re sorry about this. If you still have the receipt and packaging, you’re welcome to return it to store for a full refund. Thanks.",276,0.0217,False
top_repeated_template,30,@user Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,272,0.0214,False
top_repeated_template,31,@user Oh no! Thanks for bringing this to our attention. DM us your account email along with details for assistance.,272,0.0214,True
top_repeated_template,32,@user Thanks for this message. Sorry for the trouble.  Please DM us with your email address &amp; we'll reach out right away!,263,0.0206,True
top_repeated_template,33,@user Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/eXwzpNPj8C,262,0.0206,False
top_repeated_template,34,@user Hello! We are sorry to hear this. Can you DM us the phone number attached to your account so we can take a look? https://t.co/SXpdictw1A,260,0.0204,True
top_repeated_template,35,@user Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,251,0.0197,True
