intent_id,intent_name,description,inclusion_criteria,exclusion_criteria,priority,auto_handle_candidate,total_examples
INT_01,ACCOUNT_ACCESS_AUTH,Account Access Auth support domain,"Customer cannot log in, reset password, change email, or reports compromised/hacked account credentials.","Issues involving subscription payment transactions, refunds, or playlist disappearance.",high,True,3420
INT_02,SUBSCRIPTION_BILLING,Subscription Billing support domain,"Customer inquiries about subscription fees, duplicate charges, payment failures, student discount verification, or family plan billing.",Customer complains about getting ads despite paying (routes to ADS_PROMOTIONAL_ISSUES).,high,False,5892
INT_03,PLAYBACK_STREAMING,Playback Streaming support domain,"Customer reports audio stuttering, songs pausing automatically, tracks skipping, buffering, or poor sound quality while streaming.",Playback failure specifically while in offline mode or airplane mode (routes to OFFLINE_DOWNLOAD_SYNC).,medium,True,1581
INT_04,OFFLINE_DOWNLOAD_SYNC,Offline Download Sync support domain,"Issues with downloaded tracks not playing offline, download limits reached, SD card storage, or cache clearing.",General online streaming buffering or billing charges for Premium.,medium,True,975
INT_05,PLAYLIST_LIBRARY_MGMT,Playlist Library Mgmt support domain,"Lost or deleted playlists, songs disappearing from library, queue order bugs, or Discover Weekly not refreshing.",Songs greyed out due to regional copyright/licensing (routes to CONTENT_METADATA_AVAILABILITY).,medium,True,2435
INT_06,APP_CRASH_TECHNICAL_BUG,App Crash Technical Bug support domain,"Spotify app crashing on launch, freezing, unresponsive UI, black screen, or installation errors following an update.",Audio pausing while the app remains open and responsive (routes to PLAYBACK_STREAMING).,high,True,260
INT_07,DEVICE_CONNECT_INTEGRATION,Device Connect Integration support domain,"Spotify Connect device discovery failures, Bluetooth pairing, smart speakers (Alexa, Echo, Sonos), game consoles, or web player.",Account authentication on a new device without device discovery errors.,medium,True,504
INT_08,CONTENT_METADATA_AVAILABILITY,Content Metadata Availability support domain,"Greyed-out songs, albums/artists missing in specific geographic regions, incorrect lyrics, or explicit filter questions.",Songs missing because the user accidentally deleted their personal playlist.,low,True,1836
INT_09,ADS_PROMOTIONAL_ISSUES,Ads Promotional Issues support domain,"Repetitive/inappropriate commercial ads on Free tier, or ads erroneously playing on an active Premium account.",General billing dispute or credit card charge inquiries without ad complaints.,medium,False,600
INT_10,UI_FEEDBACK_FEATURE_REQUEST,Ui Feedback Feature Request support domain,"User dissatisfaction with app redesigns, requests for discontinued features (e.g., home widget, old layout), or general suggestions.",Technical crash reports or functional bugs preventing playback.,low,True,437
